rate,ok,received_mean,received_std,ratio,throughput_kbs,aborts,timeouts,n,ref_freq_hz,ref_freq_err_ppm,config,phase
5000,True,1000000.0,0.0,1.0,0.007374920231835519,0,0,5,,,12d,coarse
10000,True,1000000.0,0.0,1.0,0.014750290385148421,0,0,5,,,12d,coarse
20000,True,1000000.0,0.0,1.0,0.029509414556623665,0,0,5,,,12d,coarse
50000,True,1000000.0,0.0,1.0,0.07370496217500623,0,0,5,,,12d,coarse
100000,True,1000000.0,0.0,1.0,0.14749832792390255,0,0,5,,,12d,coarse
200000,True,1000000.0,0.0,1.0,0.29490376878532365,0,0,5,,,12d,coarse
500000,True,1000000.0,0.0,1.0,0.7490895853939576,0,0,5,,,12d,coarse
1000000,True,1000000.0,0.0,1.0,1.483587723961085,0,0,5,,,12d,coarse
2000000,True,1000000.0,0.0,1.0,2.93800332016313,0,0,5,,,12d,coarse
5000000,True,1000000.0,0.0,1.0,7.346780981149338,0,0,5,,,12d,coarse
10000000,False,4096.0,0.0,0.004096,12000000.0,5,0,5,,,12d,coarse
7071068,False,4096.0,0.0,0.004096,12000000.0,5,0,5,,,12d,binary
5946036,True,1000000.0,0.0,1.0,9.800561734815282,0,0,5,,,12d,binary
6484198,False,4096.0,0.0,0.004096,12000000.0,5,0,5,,,12d,binary
6209289,True,1000000.0,0.0,1.0,9.810396890607333,0,0,5,,,12d,binary
